"type","title","path","source_url","sitemap_lastmod","changefreq","priority"
"article","Breaking Fantastic News Petco Stops Selling Rabbits","/updates/breaking-fantastic-news-petco-stops-selling-rabbits","https://houserabbit.org/updates/breaking-fantastic-news-petco-stops-selling-rabbits","2025-02-27","monthly","0.5"
"article","Get Out There N9t2h 7Tlgd","/updates/get-out-there-n9t2h-7tlgd","https://houserabbit.org/updates/get-out-there-n9t2h-7tlgd","2025-02-08","monthly","0.5"
"article","New Hope In Old Appalachia Lly88 9Rlkk","/updates/new-hope-in-old-appalachia-lly88-9rlkk","https://houserabbit.org/updates/new-hope-in-old-appalachia-lly88-9rlkk","2025-02-08","monthly","0.5"
"article","Education Heartache And Love","/updates/education-heartache-and-love","https://houserabbit.org/updates/education-heartache-and-love","2025-04-06","monthly","0.5"
"article","Homemade Enrichment Ideas","/updates/homemade-enrichment-ideas","https://houserabbit.org/updates/homemade-enrichment-ideas","2025-09-03","monthly","0.5"
"article","Y5hggn8hpb7s3gxuly3y5wtxpxxzqq","/updates/y5hggn8hpb7s3gxuly3y5wtxpxxzqq","https://houserabbit.org/updates/y5hggn8hpb7s3gxuly3y5wtxpxxzqq","2025-04-05","monthly","0.5"
"article","35 Years Of Leaps Amp Bounds","/updates/35-years-of-leaps-amp-bounds","https://houserabbit.org/updates/35-years-of-leaps-amp-bounds","2025-04-05","monthly","0.5"
"article","Gxzg1sd7ifxho5emegfsr5byr1a6f4","/updates/gxzg1sd7ifxho5emegfsr5byr1a6f4","https://houserabbit.org/updates/gxzg1sd7ifxho5emegfsr5byr1a6f4","2025-04-05","monthly","0.5"
"article","Saving Bunnies And Your Mental Health","/updates/saving-bunnies-and-your-mental-health","https://houserabbit.org/updates/saving-bunnies-and-your-mental-health","2025-04-05","monthly","0.5"
"article","Why Deserts Matter Too Maymt 89Dw5","/updates/why-deserts-matter-too-maymt-89dw5","https://houserabbit.org/updates/why-deserts-matter-too-maymt-89dw5","2025-02-08","monthly","0.5"
"article","Will Work For Food","/updates/will-work-for-food","https://houserabbit.org/updates/will-work-for-food","2025-04-04","monthly","0.5"
"article","77U5gqubptczvqulpmr21luennbosu","/updates/77u5gqubptczvqulpmr21luennbosu","https://houserabbit.org/updates/77u5gqubptczvqulpmr21luennbosu","2025-04-06","monthly","0.5"
"article","A Recipe For Love","/updates/a-recipe-for-love","https://houserabbit.org/updates/a-recipe-for-love","2025-04-06","monthly","0.5"
"article","Household Plants And Rabbits","/updates/household-plants-and-rabbits","https://houserabbit.org/updates/household-plants-and-rabbits","2025-04-04","monthly","0.5"
"article","The Art Of Rabbit Proofing","/updates/the-art-of-rabbit-proofing","https://houserabbit.org/updates/the-art-of-rabbit-proofing","2025-04-04","monthly","0.5"
"article","Wonderful Words For Bunny Behaviors","/updates/wonderful-words-for-bunny-behaviors","https://houserabbit.org/updates/wonderful-words-for-bunny-behaviors","2025-04-11","monthly","0.5"
"article","Av7sdke4h519gizhqpzazs5nbv4lf4","/updates/av7sdke4h519gizhqpzazs5nbv4lf4","https://houserabbit.org/updates/av7sdke4h519gizhqpzazs5nbv4lf4","2025-04-06","monthly","0.5"
"article","The Art Of Rabbit Proofing 1","/updates/the-art-of-rabbit-proofing-1","https://houserabbit.org/updates/the-art-of-rabbit-proofing-1","2025-04-11","monthly","0.5"
"article","Zgkbnvxqr4bt2uewaotwgx7ahzvjbv","/updates/zgkbnvxqr4bt2uewaotwgx7ahzvjbv","https://houserabbit.org/updates/zgkbnvxqr4bt2uewaotwgx7ahzvjbv","2025-04-05","monthly","0.5"
"article","Tf2kb9rk6zvza4h999dr8jr64cnbum","/updates/tf2kb9rk6zvza4h999dr8jr64cnbum","https://houserabbit.org/updates/tf2kb9rk6zvza4h999dr8jr64cnbum","2025-04-05","monthly","0.5"
"article","Prepare An Emergency Kit","/updates/prepare-an-emergency-kit","https://houserabbit.org/updates/prepare-an-emergency-kit","2025-04-05","monthly","0.5"
"article","To Bun Or Not To Bun","/updates/to-bun-or-not-to-bun","https://houserabbit.org/updates/to-bun-or-not-to-bun","2025-04-05","monthly","0.5"
"article","M1lzkx5tum9rx0ogzh4huxezmyip7w","/updates/m1lzkx5tum9rx0ogzh4huxezmyip7w","https://houserabbit.org/updates/m1lzkx5tum9rx0ogzh4huxezmyip7w","2025-04-05","monthly","0.5"
"article","A Tribute To Corey J Pants House Rabbit Societynbsp","/updates/a-tribute-to-corey-j-pants-house-rabbit-societynbsp","https://houserabbit.org/updates/a-tribute-to-corey-j-pants-house-rabbit-societynbsp","2025-04-11","monthly","0.5"
"article","Rabbit Emergency Bed","/updates/rabbit-emergency-bed","https://houserabbit.org/updates/rabbit-emergency-bed","2025-04-04","monthly","0.5"
"article","Seeking A Safe Rabbit Sitter In States With Rhdvnbsp","/updates/seeking-a-safe-rabbit-sitter-in-states-with-rhdvnbsp","https://houserabbit.org/updates/seeking-a-safe-rabbit-sitter-in-states-with-rhdvnbsp","2025-04-05","monthly","0.5"
"article","The Joys Of Rabbit Fostering","/updates/the-joys-of-rabbit-fostering","https://houserabbit.org/updates/the-joys-of-rabbit-fostering","2025-04-05","monthly","0.5"
"article","Rabbit And Cat Cohabitation","/updates/rabbit-and-cat-cohabitation","https://houserabbit.org/updates/rabbit-and-cat-cohabitation","2026-09-18","monthly","0.5"
"article","Bladder Sludge","/updates/bladder-sludge","https://houserabbit.org/updates/bladder-sludge","2025-04-05","monthly","0.5"
"article","Focused On Rabbits","/updates/focused-on-rabbits","https://houserabbit.org/updates/focused-on-rabbits","2025-04-11","monthly","0.5"
"article","One In A Million","/updates/one-in-a-million","https://houserabbit.org/updates/one-in-a-million","2025-04-11","monthly","0.5"
"article","Ten Pounds","/updates/ten-pounds","https://houserabbit.org/updates/ten-pounds","2025-04-05","monthly","0.5"
"article","Four Ways To Protect Your Pets During An Emergency","/updates/four-ways-to-protect-your-pets-during-an-emergency","https://houserabbit.org/updates/four-ways-to-protect-your-pets-during-an-emergency","2025-04-05","monthly","0.5"
"article","Cant Judge A Bunny By His Bite","/updates/cant-judge-a-bunny-by-his-bite","https://houserabbit.org/updates/cant-judge-a-bunny-by-his-bite","2025-04-04","monthly","0.5"
"article","Updates","/updates/category/Updates","https://houserabbit.org/updates/category/Updates","","monthly","0.5"
"article","Medical","/updates/category/Medical","https://houserabbit.org/updates/category/Medical","","monthly","0.5"
"article","Stories","/updates/category/Stories","https://houserabbit.org/updates/category/Stories","","monthly","0.5"
"article","Behavior","/updates/category/Behavior","https://houserabbit.org/updates/category/Behavior","","monthly","0.5"
"article","Community","/updates/category/community","https://houserabbit.org/updates/category/community","","monthly","0.5"
"article","Community","/updates/category/Community","https://houserabbit.org/updates/category/Community","","monthly","0.5"
"article","Care","/updates/category/Care","https://houserabbit.org/updates/category/Care","","monthly","0.5"
"article","Play","/updates/tag/play","https://houserabbit.org/updates/tag/play","","monthly","0.5"
"article","Education","/updates/tag/education","https://houserabbit.org/updates/tag/education","","monthly","0.5"
"article","Holiday+Hours","/updates/tag/holiday+hours","https://houserabbit.org/updates/tag/holiday+hours","","monthly","0.5"
"article","Mental+Health","/updates/tag/mental+health","https://houserabbit.org/updates/tag/mental+health","","monthly","0.5"
"article","Rabbits","/updates/tag/rabbits","https://houserabbit.org/updates/tag/rabbits","","monthly","0.5"
"article","Hop+Shop","/updates/tag/hop+shop","https://houserabbit.org/updates/tag/hop+shop","","monthly","0.5"
"article","Euthanasia","/updates/tag/euthanasia","https://houserabbit.org/updates/tag/euthanasia","","monthly","0.5"
"article","Year End+Giving","/updates/tag/year-end+giving","https://houserabbit.org/updates/tag/year-end+giving","","monthly","0.5"
"article","Sick","/updates/tag/sick","https://houserabbit.org/updates/tag/sick","","monthly","0.5"
"article","How+To+Care+For+A+Rabbit+Cheaply","/updates/tag/how+to+care+for+a+rabbit+cheaply","https://houserabbit.org/updates/tag/how+to+care+for+a+rabbit+cheaply","","monthly","0.5"
"article","Guinea+Pigs","/updates/tag/guinea+pigs","https://houserabbit.org/updates/tag/guinea+pigs","","monthly","0.5"
"article","Caring+For+A+Rabbit+On+A+Budget","/updates/tag/caring+for+a+rabbit+on+a+budget","https://houserabbit.org/updates/tag/caring+for+a+rabbit+on+a+budget","","monthly","0.5"
"article","Multipet+Household","/updates/tag/multipet+household","https://houserabbit.org/updates/tag/multipet+household","","monthly","0.5"
"article","Pee","/updates/tag/pee","https://houserabbit.org/updates/tag/pee","","monthly","0.5"
"article","Enrichment","/updates/tag/enrichment","https://houserabbit.org/updates/tag/enrichment","","monthly","0.5"
"article","Loss","/updates/tag/loss","https://houserabbit.org/updates/tag/loss","","monthly","0.5"
"article","Rabbit+Vaccination","/updates/tag/rabbit+vaccination","https://houserabbit.org/updates/tag/rabbit+vaccination","","monthly","0.5"
"article","Board","/updates/tag/Board","https://houserabbit.org/updates/tag/Board","","monthly","0.5"
"article","Veterinary+Training+Initiative","/updates/tag/veterinary+training+initiative","https://houserabbit.org/updates/tag/veterinary+training+initiative","","monthly","0.5"
"article","Disabled+Rabbit","/updates/tag/disabled+rabbit","https://houserabbit.org/updates/tag/disabled+rabbit","","monthly","0.5"
"article","Introducing+Rabbits","/updates/tag/introducing+rabbits","https://houserabbit.org/updates/tag/introducing+rabbits","","monthly","0.5"
"article","Match+Campaign","/updates/tag/match+campaign","https://houserabbit.org/updates/tag/match+campaign","","monthly","0.5"
"article","Foster+Rabbit","/updates/tag/foster+rabbit","https://houserabbit.org/updates/tag/foster+rabbit","","monthly","0.5"
"article","Trap","/updates/tag/trap","https://houserabbit.org/updates/tag/trap","","monthly","0.5"
"article","Abandoned","/updates/tag/abandoned","https://houserabbit.org/updates/tag/abandoned","","monthly","0.5"
"article","Giving+Tuesday","/updates/tag/giving+tuesday","https://houserabbit.org/updates/tag/giving+tuesday","","monthly","0.5"
"article","Grief","/updates/tag/grief","https://houserabbit.org/updates/tag/grief","","monthly","0.5"
"article","Bunny+Proofing","/updates/tag/bunny+proofing","https://houserabbit.org/updates/tag/bunny+proofing","","monthly","0.5"
"article","Litter+Box","/updates/tag/Litter+box","https://houserabbit.org/updates/tag/Litter+box","","monthly","0.5"
"article","Nonprofit+Organization","/updates/tag/nonprofit+organization","https://houserabbit.org/updates/tag/nonprofit+organization","","monthly","0.5"
"article","Microchipping","/updates/tag/microchipping","https://houserabbit.org/updates/tag/microchipping","","monthly","0.5"
"article","Senior+Rabbits","/updates/tag/senior+rabbits","https://houserabbit.org/updates/tag/senior+rabbits","","monthly","0.5"
"article","Rabbit+Sitter","/updates/tag/rabbit+sitter","https://houserabbit.org/updates/tag/rabbit+sitter","","monthly","0.5"
"article","Speed+Dating","/updates/tag/speed+dating","https://houserabbit.org/updates/tag/speed+dating","","monthly","0.5"
"article","Bill","/updates/tag/bill","https://houserabbit.org/updates/tag/bill","","monthly","0.5"
"article","Annual+Rabbit+Vaccine","/updates/tag/annual+rabbit+vaccine","https://houserabbit.org/updates/tag/annual+rabbit+vaccine","","monthly","0.5"
"article","Hrs+Shelter+Assistance+Program","/updates/tag/hrs+shelter+assistance+program","https://houserabbit.org/updates/tag/hrs+shelter+assistance+program","","monthly","0.5"
"article","House+Rabbit+Society+Impact+Report","/updates/tag/house+rabbit+society+impact+report","https://houserabbit.org/updates/tag/house+rabbit+society+impact+report","","monthly","0.5"
"article","Adopt+A+Rescue+Rabbit","/updates/tag/adopt+a+rescue+rabbit","https://houserabbit.org/updates/tag/adopt+a+rescue+rabbit","","monthly","0.5"
"article","Rabbit+Proofing","/updates/tag/rabbit+proofing","https://houserabbit.org/updates/tag/rabbit+proofing","","monthly","0.5"
"article","Volunteer+Board","/updates/tag/volunteer+board","https://houserabbit.org/updates/tag/volunteer+board","","monthly","0.5"
"article","Pets+And+The+Holidays","/updates/tag/pets+and+the+holidays","https://houserabbit.org/updates/tag/pets+and+the+holidays","","monthly","0.5"
"article","Rabbit+Care","/updates/tag/rabbit+care","https://houserabbit.org/updates/tag/rabbit+care","","monthly","0.5"
"article","Splay+Leg","/updates/tag/splay+leg","https://houserabbit.org/updates/tag/splay+leg","","monthly","0.5"
"article","Adopt","/updates/tag/adopt","https://houserabbit.org/updates/tag/adopt","","monthly","0.5"
"article","Foster+A+Rabbit","/updates/tag/foster+a+rabbit","https://houserabbit.org/updates/tag/foster+a+rabbit","","monthly","0.5"
"article","Rabbit+Hemorrhagic+Disease","/updates/tag/rabbit+hemorrhagic+disease","https://houserabbit.org/updates/tag/rabbit+hemorrhagic+disease","","monthly","0.5"
"article","Animal+Rescue","/updates/tag/animal+rescue","https://houserabbit.org/updates/tag/animal+rescue","","monthly","0.5"
"article","Donate+To+HRS","/updates/tag/donate+to+HRS","https://houserabbit.org/updates/tag/donate+to+HRS","","monthly","0.5"
"article","Medical","/updates/tag/Medical","https://houserabbit.org/updates/tag/Medical","","monthly","0.5"
"article","Animal+Legislation","/updates/tag/animal+legislation","https://houserabbit.org/updates/tag/animal+legislation","","monthly","0.5"
"article","Bonding+Rabbits","/updates/tag/bonding+rabbits","https://houserabbit.org/updates/tag/bonding+rabbits","","monthly","0.5"
"article","Ethics+Over+Aesthetics","/updates/tag/Ethics+over+Aesthetics","https://houserabbit.org/updates/tag/Ethics+over+Aesthetics","","monthly","0.5"
"article","Boarding","/updates/tag/boarding","https://houserabbit.org/updates/tag/boarding","","monthly","0.5"
"article","Photography","/updates/tag/photography","https://houserabbit.org/updates/tag/photography","","monthly","0.5"
"article","Rabbits+And+Guinea+Pigs","/updates/tag/rabbits+and+guinea+pigs","https://houserabbit.org/updates/tag/rabbits+and+guinea+pigs","","monthly","0.5"
"article","Care","/updates/tag/care","https://houserabbit.org/updates/tag/care","","monthly","0.5"
"article","Vaccination","/updates/tag/vaccination","https://houserabbit.org/updates/tag/vaccination","","monthly","0.5"
"article","House+Rabbit+Society+Work","/updates/tag/house+rabbit+society+work","https://houserabbit.org/updates/tag/house+rabbit+society+work","","monthly","0.5"
"article","Housing","/updates/tag/housing","https://houserabbit.org/updates/tag/housing","","monthly","0.5"
"article","Spay%2Fneuter","/updates/tag/spay%2Fneuter","https://houserabbit.org/updates/tag/spay%2Fneuter","","monthly","0.5"
"article","Rabbit+Pair","/updates/tag/rabbit+pair","https://houserabbit.org/updates/tag/rabbit+pair","","monthly","0.5"
"article","Microchip","/updates/tag/microchip","https://houserabbit.org/updates/tag/microchip","","monthly","0.5"
"article","Foster+Win","/updates/tag/foster+win","https://houserabbit.org/updates/tag/foster+win","","monthly","0.5"
"article","Holiday","/updates/tag/holiday","https://houserabbit.org/updates/tag/holiday","","monthly","0.5"
"article","Donate+To+House+Rabbit+Society","/updates/tag/donate+to+house+rabbit+society","https://houserabbit.org/updates/tag/donate+to+house+rabbit+society","","monthly","0.5"
"article","Pictures","/updates/tag/pictures","https://houserabbit.org/updates/tag/pictures","","monthly","0.5"
"article","Products","/updates/tag/products","https://houserabbit.org/updates/tag/products","","monthly","0.5"
"article","RHDV2","/updates/tag/RHDV2","https://houserabbit.org/updates/tag/RHDV2","","monthly","0.5"
"article","Knowing+When+Its+Time","/updates/tag/knowing+when+its+time","https://houserabbit.org/updates/tag/knowing+when+its+time","","monthly","0.5"
"article","Vocabulary","/updates/tag/vocabulary","https://houserabbit.org/updates/tag/vocabulary","","monthly","0.5"
"article","House+Rabbit","/updates/tag/house+rabbit","https://houserabbit.org/updates/tag/house+rabbit","","monthly","0.5"
"article","Earth+Day","/updates/tag/earth+day","https://houserabbit.org/updates/tag/earth+day","","monthly","0.5"
"article","Small+Apartment","/updates/tag/small+apartment","https://houserabbit.org/updates/tag/small+apartment","","monthly","0.5"
"article","Foster+A+Bunny","/updates/tag/foster+a+bunny","https://houserabbit.org/updates/tag/foster+a+bunny","","monthly","0.5"
"article","Behavior","/updates/tag/behavior","https://houserabbit.org/updates/tag/behavior","","monthly","0.5"
"article","Multilingual","/updates/tag/multilingual","https://houserabbit.org/updates/tag/multilingual","","monthly","0.5"
"article","Freewill","/updates/tag/freewill","https://houserabbit.org/updates/tag/freewill","","monthly","0.5"
"article","Fostering","/updates/tag/fostering","https://houserabbit.org/updates/tag/fostering","","monthly","0.5"
"article","Adopt+A+Rabbit","/updates/tag/adopt+a+rabbit","https://houserabbit.org/updates/tag/adopt+a+rabbit","","monthly","0.5"
"article","Litter","/updates/tag/litter","https://houserabbit.org/updates/tag/litter","","monthly","0.5"
"article","Let+Bunnies+Fly","/updates/tag/let+bunnies+fly","https://houserabbit.org/updates/tag/let+bunnies+fly","","monthly","0.5"
"article","Legacy+Giving","/updates/tag/legacy+giving","https://houserabbit.org/updates/tag/legacy+giving","","monthly","0.5"
"article","Words","/updates/tag/words","https://houserabbit.org/updates/tag/words","","monthly","0.5"
"article","Health","/updates/tag/health","https://houserabbit.org/updates/tag/health","","monthly","0.5"
"article","House+Rabbit+Society+Medical+Program","/updates/tag/house+rabbit+society+medical+program","https://houserabbit.org/updates/tag/house+rabbit+society+medical+program","","monthly","0.5"
"article","Digging","/updates/tag/digging","https://houserabbit.org/updates/tag/digging","","monthly","0.5"
"article","Bunny+Holiday+Safety","/updates/tag/bunny+holiday+safety","https://houserabbit.org/updates/tag/bunny+holiday+safety","","monthly","0.5"
"article","House+Rabbit+Society+Classes","/updates/tag/house+rabbit+society+classes","https://houserabbit.org/updates/tag/house+rabbit+society+classes","","monthly","0.5"
"article","RHDV","/updates/tag/RHDV","https://houserabbit.org/updates/tag/RHDV","","monthly","0.5"
"article","RHDV2+Vaccination","/updates/tag/RHDV2+vaccination","https://houserabbit.org/updates/tag/RHDV2+vaccination","","monthly","0.5"
"article","Cats","/updates/tag/cats","https://houserabbit.org/updates/tag/cats","","monthly","0.5"
"article","Board+Member","/updates/tag/Board+Member","https://houserabbit.org/updates/tag/Board+Member","","monthly","0.5"
"article","Outdoors","/updates/tag/outdoors","https://houserabbit.org/updates/tag/outdoors","","monthly","0.5"
"article","House+Rabbit+Society+Veterinary+Program","/updates/tag/house+rabbit+society+veterinary+program","https://houserabbit.org/updates/tag/house+rabbit+society+veterinary+program","","monthly","0.5"
"article","DIY","/updates/tag/DIY","https://houserabbit.org/updates/tag/DIY","","monthly","0.5"
"article","Foster","/updates/tag/foster","https://houserabbit.org/updates/tag/foster","","monthly","0.5"
"article","HRS+Vet+Program","/updates/tag/HRS+vet+program","https://houserabbit.org/updates/tag/HRS+vet+program","","monthly","0.5"
"article","Closed","/updates/tag/closed","https://houserabbit.org/updates/tag/closed","","monthly","0.5"
"article","Travel","/updates/tag/travel","https://houserabbit.org/updates/tag/travel","","monthly","0.5"
"article","Rhdv","/updates/tag/rhdv","https://houserabbit.org/updates/tag/rhdv","","monthly","0.5"
"article","GI+Stasis","/updates/tag/GI+stasis","https://houserabbit.org/updates/tag/GI+stasis","","monthly","0.5"
"article","HRS+Classes","/updates/tag/HRS+classes","https://houserabbit.org/updates/tag/HRS+classes","","monthly","0.5"
